"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NL","Actual Total Load [MW] - BZN|NL"
"01.01.2023 00:00 - 01.01.2023 00:15","11330","9912"
"01.01.2023 00:15 - 01.01.2023 00:30","11251","9813"
"01.01.2023 00:30 - 01.01.2023 00:45","11154","9877"
"01.01.2023 00:45 - 01.01.2023 01:00","11045","9861"
"01.01.2023 01:00 - 01.01.2023 01:15","10929","9847"
"01.01.2023 01:15 - 01.01.2023 01:30","10819","9801"
"01.01.2023 01:30 - 01.01.2023 01:45","10721","9746"
"01.01.2023 01:45 - 01.01.2023 02:00","10654","9680"
"01.01.2023 02:00 - 01.01.2023 02:15","10601","9640"
"01.01.2023 02:15 - 01.01.2023 02:30","10567","9613"
"01.01.2023 02:30 - 01.01.2023 02:45","10539","9524"
"01.01.2023 02:45 - 01.01.2023 03:00","10525","9439"
"01.01.2023 03:00 - 01.01.2023 03:15","10508","9398"
"01.01.2023 03:15 - 01.01.2023 03:30","10496","9325"
"01.01.2023 03:30 - 01.01.2023 03:45","10468","9260"
"01.01.2023 03:45 - 01.01.2023 04:00","10446","9202"
"01.01.2023 04:00 - 01.01.2023 04:15","10446","9172"
"01.01.2023 04:15 - 01.01.2023 04:30","10466","9145"
"01.01.2023 04:30 - 01.01.2023 04:45","10457","9136"
"01.01.2023 04:45 - 01.01.2023 05:00","10420","9090"
"01.01.2023 05:00 - 01.01.2023 05:15","10410","9090"
"01.01.2023 05:15 - 01.01.2023 05:30","10463","9070"
"01.01.2023 05:30 - 01.01.2023 05:45","10468","9074"
"01.01.2023 05:45 - 01.01.2023 06:00","10431","9087"
"01.01.2023 06:00 - 01.01.2023 06:15","10447","9147"
"01.01.2023 06:15 - 01.01.2023 06:30","10558","9153"
"01.01.2023 06:30 - 01.01.2023 06:45","10642","9176"
"01.01.2023 06:45 - 01.01.2023 07:00","10715","9229"
"01.01.2023 07:00 - 01.01.2023 07:15","10830","9340"
"01.01.2023 07:15 - 01.01.2023 07:30","10994","9379"
"01.01.2023 07:30 - 01.01.2023 07:45","11155","9439"
"01.01.2023 07:45 - 01.01.2023 08:00","11304","9513"
"01.01.2023 08:00 - 01.01.2023 08:15","11468","9619"
"01.01.2023 08:15 - 01.01.2023 08:30","11654","9716"
"01.01.2023 08:30 - 01.01.2023 08:45","11825","9775"
"01.01.2023 08:45 - 01.01.2023 09:00","11931","9768"
"01.01.2023 09:00 - 01.01.2023 09:15","12014","9908"
"01.01.2023 09:15 - 01.01.2023 09:30","12183","10017"
"01.01.2023 09:30 - 01.01.2023 09:45","12229","10105"
"01.01.2023 09:45 - 01.01.2023 10:00","12257","10169"
"01.01.2023 10:00 - 01.01.2023 10:15","12251","10192"
"01.01.2023 10:15 - 01.01.2023 10:30","12136","10131"
"01.01.2023 10:30 - 01.01.2023 10:45","12017","10043"
"01.01.2023 10:45 - 01.01.2023 11:00","11996","9970"
"01.01.2023 11:00 - 01.01.2023 11:15","12021","10036"
"01.01.2023 11:15 - 01.01.2023 11:30","12044","10093"
"01.01.2023 11:30 - 01.01.2023 11:45","12078","10025"
"01.01.2023 11:45 - 01.01.2023 12:00","12096","10085"
"01.01.2023 12:00 - 01.01.2023 12:15","12066","10271"
"01.01.2023 12:15 - 01.01.2023 12:30","12071","10355"
"01.01.2023 12:30 - 01.01.2023 12:45","12118","10451"
"01.01.2023 12:45 - 01.01.2023 13:00","12196","10494"
"01.01.2023 13:00 - 01.01.2023 13:15","12311","10476"
"01.01.2023 13:15 - 01.01.2023 13:30","12521","10414"
"01.01.2023 13:30 - 01.01.2023 13:45","12642","10406"
"01.01.2023 13:45 - 01.01.2023 14:00","12638","10609"
"01.01.2023 14:00 - 01.01.2023 14:15","12661","10840"
"01.01.2023 14:15 - 01.01.2023 14:30","12679","11010"
"01.01.2023 14:30 - 01.01.2023 14:45","12733","11115"
"01.01.2023 14:45 - 01.01.2023 15:00","12797","11173"
"01.01.2023 15:00 - 01.01.2023 15:15","12852","11268"
"01.01.2023 15:15 - 01.01.2023 15:30","12972","11404"
"01.01.2023 15:30 - 01.01.2023 15:45","13083","11471"
"01.01.2023 15:45 - 01.01.2023 16:00","13141","11473"
"01.01.2023 16:00 - 01.01.2023 16:15","13149","11474"
"01.01.2023 16:15 - 01.01.2023 16:30","13128","11690"
"01.01.2023 16:30 - 01.01.2023 16:45","13223","11892"
"01.01.2023 16:45 - 01.01.2023 17:00","13391","12125"
"01.01.2023 17:00 - 01.01.2023 17:15","13551","12346"
"01.01.2023 17:15 - 01.01.2023 17:30","13628","12557"
"01.01.2023 17:30 - 01.01.2023 17:45","13685","12723"
"01.01.2023 17:45 - 01.01.2023 18:00","13705","12812"
"01.01.2023 18:00 - 01.01.2023 18:15","13666","12735"
"01.01.2023 18:15 - 01.01.2023 18:30","13562","12671"
"01.01.2023 18:30 - 01.01.2023 18:45","13413","12582"
"01.01.2023 18:45 - 01.01.2023 19:00","13270","12502"
"01.01.2023 19:00 - 01.01.2023 19:15","13155","12434"
"01.01.2023 19:15 - 01.01.2023 19:30","13083","12356"
"01.01.2023 19:30 - 01.01.2023 19:45","12992","12306"
"01.01.2023 19:45 - 01.01.2023 20:00","12950","12296"
"01.01.2023 20:00 - 01.01.2023 20:15","12941","12204"
"01.01.2023 20:15 - 01.01.2023 20:30","12960","12106"
"01.01.2023 20:30 - 01.01.2023 20:45","12920","11954"
"01.01.2023 20:45 - 01.01.2023 21:00","12810","11841"
"01.01.2023 21:00 - 01.01.2023 21:15","12734","11734"
"01.01.2023 21:15 - 01.01.2023 21:30","12690","11622"
"01.01.2023 21:30 - 01.01.2023 21:45","12575","11473"
"01.01.2023 21:45 - 01.01.2023 22:00","12480","11366"
"01.01.2023 22:00 - 01.01.2023 22:15","12422","11228"
"01.01.2023 22:15 - 01.01.2023 22:30","12264","11093"
"01.01.2023 22:30 - 01.01.2023 22:45","12041","10893"
"01.01.2023 22:45 - 01.01.2023 23:00","11914","10713"
"01.01.2023 23:00 - 01.01.2023 23:15","11808","10577"
"01.01.2023 23:15 - 01.01.2023 23:30","11719","10409"
"01.01.2023 23:30 - 01.01.2023 23:45","11610","10338"
"01.01.2023 23:45 - 02.01.2023 00:00","11503","10292"
"02.01.2023 00:00 - 02.01.2023 00:15","11446","10230"
"02.01.2023 00:15 - 02.01.2023 00:30","11357","10116"
"02.01.2023 00:30 - 02.01.2023 00:45","11161","9980"
"02.01.2023 00:45 - 02.01.2023 01:00","11057","9852"
"02.01.2023 01:00 - 02.01.2023 01:15","10951","9719"
"02.01.2023 01:15 - 02.01.2023 01:30","10793","9569"
"02.01.2023 01:30 - 02.01.2023 01:45","10688","9391"
"02.01.2023 01:45 - 02.01.2023 02:00","10640","9286"
"02.01.2023 02:00 - 02.01.2023 02:15","10589","9253"
"02.01.2023 02:15 - 02.01.2023 02:30","10508","9200"
"02.01.2023 02:30 - 02.01.2023 02:45","10426","9147"
"02.01.2023 02:45 - 02.01.2023 03:00","10366","9092"
"02.01.2023 03:00 - 02.01.2023 03:15","10314","9164"
"02.01.2023 03:15 - 02.01.2023 03:30","10264","9159"
"02.01.2023 03:30 - 02.01.2023 03:45","10243","9208"
"02.01.2023 03:45 - 02.01.2023 04:00","10213","9190"
"02.01.2023 04:00 - 02.01.2023 04:15","10176","9291"
"02.01.2023 04:15 - 02.01.2023 04:30","10155","9324"
"02.01.2023 04:30 - 02.01.2023 04:45","10133","9327"
"02.01.2023 04:45 - 02.01.2023 05:00","10118","9368"
"02.01.2023 05:00 - 02.01.2023 05:15","10138","9499"
"02.01.2023 05:15 - 02.01.2023 05:30","10212","9650"
"02.01.2023 05:30 - 02.01.2023 05:45","10285","9831"
"02.01.2023 05:45 - 02.01.2023 06:00","10398","9990"
"02.01.2023 06:00 - 02.01.2023 06:15","10569","10306"
"02.01.2023 06:15 - 02.01.2023 06:30","10796","10553"
"02.01.2023 06:30 - 02.01.2023 06:45","10962","10843"
"02.01.2023 06:45 - 02.01.2023 07:00","11121","11126"
"02.01.2023 07:00 - 02.01.2023 07:15","11329","11496"
"02.01.2023 07:15 - 02.01.2023 07:30","11672","11712"
"02.01.2023 07:30 - 02.01.2023 07:45","11964","11980"
"02.01.2023 07:45 - 02.01.2023 08:00","12162","12266"
"02.01.2023 08:00 - 02.01.2023 08:15","12416","12616"
"02.01.2023 08:15 - 02.01.2023 08:30","12676","12879"
"02.01.2023 08:30 - 02.01.2023 08:45","12830","13033"
"02.01.2023 08:45 - 02.01.2023 09:00","12898","13142"
"02.01.2023 09:00 - 02.01.2023 09:15","12977","13377"
"02.01.2023 09:15 - 02.01.2023 09:30","13044","13494"
"02.01.2023 09:30 - 02.01.2023 09:45","12995","13581"
"02.01.2023 09:45 - 02.01.2023 10:00","12881","13598"
"02.01.2023 10:00 - 02.01.2023 10:15","12788","13574"
"02.01.2023 10:15 - 02.01.2023 10:30","12779","13610"
"02.01.2023 10:30 - 02.01.2023 10:45","12667","13581"
"02.01.2023 10:45 - 02.01.2023 11:00","12595","13478"
"02.01.2023 11:00 - 02.01.2023 11:15","12425","13489"
"02.01.2023 11:15 - 02.01.2023 11:30","12235","13506"
"02.01.2023 11:30 - 02.01.2023 11:45","12094","13448"
"02.01.2023 11:45 - 02.01.2023 12:00","11956","13337"
"02.01.2023 12:00 - 02.01.2023 12:15","11843","13305"
"02.01.2023 12:15 - 02.01.2023 12:30","11759","13216"
"02.01.2023 12:30 - 02.01.2023 12:45","11695","13163"
"02.01.2023 12:45 - 02.01.2023 13:00","11630","13190"
"02.01.2023 13:00 - 02.01.2023 13:15","11632","13328"
"02.01.2023 13:15 - 02.01.2023 13:30","11737","13421"
"02.01.2023 13:30 - 02.01.2023 13:45","11804","13548"
"02.01.2023 13:45 - 02.01.2023 14:00","11886","13584"
"02.01.2023 14:00 - 02.01.2023 14:15","11946","13672"
"02.01.2023 14:15 - 02.01.2023 14:30","12073","13651"
"02.01.2023 14:30 - 02.01.2023 14:45","12205","13662"
"02.01.2023 14:45 - 02.01.2023 15:00","12352","13688"
"02.01.2023 15:00 - 02.01.2023 15:15","12519","13713"
"02.01.2023 15:15 - 02.01.2023 15:30","12679","13759"
"02.01.2023 15:30 - 02.01.2023 15:45","12811","13797"
"02.01.2023 15:45 - 02.01.2023 16:00","12893","13864"
"02.01.2023 16:00 - 02.01.2023 16:15","12958","13948"
"02.01.2023 16:15 - 02.01.2023 16:30","13081","14103"
"02.01.2023 16:30 - 02.01.2023 16:45","13322","14307"
"02.01.2023 16:45 - 02.01.2023 17:00","13595","14688"
"02.01.2023 17:00 - 02.01.2023 17:15","13887","15033"
"02.01.2023 17:15 - 02.01.2023 17:30","14026","15249"
"02.01.2023 17:30 - 02.01.2023 17:45","14099","15329"
"02.01.2023 17:45 - 02.01.2023 18:00","14105","15358"
"02.01.2023 18:00 - 02.01.2023 18:15","13985","15087"
"02.01.2023 18:15 - 02.01.2023 18:30","13752","14830"
"02.01.2023 18:30 - 02.01.2023 18:45","13580","14661"
"02.01.2023 18:45 - 02.01.2023 19:00","13413","14578"
"02.01.2023 19:00 - 02.01.2023 19:15","13294","14435"
"02.01.2023 19:15 - 02.01.2023 19:30","13190","14290"
"02.01.2023 19:30 - 02.01.2023 19:45","13076","14116"
