"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2021 00:00 - 01.01.2021 00:15","0","0","n/e","80","80","n/e","157","157","n/e"
"01.01.2021 00:15 - 01.01.2021 00:30","0","0","n/e","84","84","n/e","162","162","n/e"
"01.01.2021 00:30 - 01.01.2021 00:45","0","0","n/e","87","87","n/e","163","163","n/e"
"01.01.2021 00:45 - 01.01.2021 01:00","0","0","n/e","90","90","n/e","167","167","n/e"
"01.01.2021 01:00 - 01.01.2021 01:15","0","0","n/e","93","93","n/e","171","171","n/e"
"01.01.2021 01:15 - 01.01.2021 01:30","0","0","n/e","94","94","n/e","175","175","n/e"
"01.01.2021 01:30 - 01.01.2021 01:45","0","0","n/e","94","94","n/e","182","182","n/e"
"01.01.2021 01:45 - 01.01.2021 02:00","0","0","n/e","94","94","n/e","189","189","n/e"
"01.01.2021 02:00 - 01.01.2021 02:15","0","0","n/e","94","94","n/e","196","196","n/e"
"01.01.2021 02:15 - 01.01.2021 02:30","0","0","n/e","96","96","n/e","204","204","n/e"
"01.01.2021 02:30 - 01.01.2021 02:45","0","0","n/e","99","99","n/e","211","211","n/e"
"01.01.2021 02:45 - 01.01.2021 03:00","0","0","n/e","102","102","n/e","219","219","n/e"
"01.01.2021 03:00 - 01.01.2021 03:15","0","0","n/e","104","104","n/e","230","230","n/e"
"01.01.2021 03:15 - 01.01.2021 03:30","0","0","n/e","108","108","n/e","232","232","n/e"
"01.01.2021 03:30 - 01.01.2021 03:45","0","0","n/e","112","112","n/e","231","231","n/e"
"01.01.2021 03:45 - 01.01.2021 04:00","0","0","n/e","116","116","n/e","228","228","n/e"
"01.01.2021 04:00 - 01.01.2021 04:15","0","0","n/e","120","120","n/e","228","228","n/e"
"01.01.2021 04:15 - 01.01.2021 04:30","0","0","n/e","122","122","n/e","223","223","n/e"
"01.01.2021 04:30 - 01.01.2021 04:45","0","0","n/e","122","122","n/e","219","219","n/e"
"01.01.2021 04:45 - 01.01.2021 05:00","0","0","n/e","123","123","n/e","214","214","n/e"
"01.01.2021 05:00 - 01.01.2021 05:15","0","0","n/e","124","124","n/e","207","207","n/e"
"01.01.2021 05:15 - 01.01.2021 05:30","0","0","n/e","130","130","n/e","202","202","n/e"
"01.01.2021 05:30 - 01.01.2021 05:45","0","0","n/e","143","143","n/e","195","195","n/e"
"01.01.2021 05:45 - 01.01.2021 06:00","0","0","n/e","156","156","n/e","188","188","n/e"
"01.01.2021 06:00 - 01.01.2021 06:15","0","0","n/e","168","168","n/e","182","182","n/e"
"01.01.2021 06:15 - 01.01.2021 06:30","0","0","n/e","166","166","n/e","177","177","n/e"
"01.01.2021 06:30 - 01.01.2021 06:45","0","0","n/e","149","149","n/e","177","177","n/e"
"01.01.2021 06:45 - 01.01.2021 07:00","0","0","n/e","132","132","n/e","177","177","n/e"
"01.01.2021 07:00 - 01.01.2021 07:15","0","0","n/e","115","115","n/e","177","177","n/e"
"01.01.2021 07:15 - 01.01.2021 07:30","0","0","n/e","103","103","n/e","177","177","n/e"
"01.01.2021 07:30 - 01.01.2021 07:45","0","0","n/e","96","96","n/e","180","180","n/e"
"01.01.2021 07:45 - 01.01.2021 08:00","0","0","n/e","90","90","n/e","181","181","n/e"
"01.01.2021 08:00 - 01.01.2021 08:15","0","0","n/e","83","83","n/e","182","182","n/e"
"01.01.2021 08:15 - 01.01.2021 08:30","69","69","n/e","79","79","n/e","188","188","n/e"
"01.01.2021 08:30 - 01.01.2021 08:45","138","138","n/e","78","78","n/e","194","194","n/e"
"01.01.2021 08:45 - 01.01.2021 09:00","208","208","n/e","76","76","n/e","200","200","n/e"
"01.01.2021 09:00 - 01.01.2021 09:15","277","277","n/e","75","75","n/e","207","207","n/e"
"01.01.2021 09:15 - 01.01.2021 09:30","337","337","n/e","75","75","n/e","206","206","n/e"
"01.01.2021 09:30 - 01.01.2021 09:45","398","398","n/e","76","76","n/e","198","198","n/e"
"01.01.2021 09:45 - 01.01.2021 10:00","456","456","n/e","77","77","n/e","190","190","n/e"
"01.01.2021 10:00 - 01.01.2021 10:15","514","514","n/e","78","78","n/e","181","181","n/e"
"01.01.2021 10:15 - 01.01.2021 10:30","545","545","n/e","79","79","n/e","174","174","n/e"
"01.01.2021 10:30 - 01.01.2021 10:45","577","577","n/e","78","78","n/e","168","168","n/e"
"01.01.2021 10:45 - 01.01.2021 11:00","608","608","n/e","77","77","n/e","162","162","n/e"
"01.01.2021 11:00 - 01.01.2021 11:15","636","636","n/e","77","77","n/e","156","156","n/e"
"01.01.2021 11:15 - 01.01.2021 11:30","653","653","n/e","79","79","n/e","152","152","n/e"
"01.01.2021 11:30 - 01.01.2021 11:45","665","665","n/e","83","83","n/e","155","155","n/e"
"01.01.2021 11:45 - 01.01.2021 12:00","680","680","n/e","88","88","n/e","156","156","n/e"
"01.01.2021 12:00 - 01.01.2021 12:15","694","694","n/e","93","93","n/e","157","157","n/e"
"01.01.2021 12:15 - 01.01.2021 12:30","676","676","n/e","95","95","n/e","161","161","n/e"
"01.01.2021 12:30 - 01.01.2021 12:45","655","655","n/e","96","96","n/e","166","166","n/e"
"01.01.2021 12:45 - 01.01.2021 13:00","638","638","n/e","97","97","n/e","174","174","n/e"
"01.01.2021 13:00 - 01.01.2021 13:15","621","621","n/e","98","98","n/e","177","177","n/e"
"01.01.2021 13:15 - 01.01.2021 13:30","576","576","n/e","98","98","n/e","184","184","n/e"
"01.01.2021 13:30 - 01.01.2021 13:45","530","530","n/e","96","96","n/e","190","190","n/e"
"01.01.2021 13:45 - 01.01.2021 14:00","484","484","n/e","94","94","n/e","196","196","n/e"
"01.01.2021 14:00 - 01.01.2021 14:15","440","440","n/e","92","92","n/e","203","203","n/e"
"01.01.2021 14:15 - 01.01.2021 14:30","375","375","n/e","92","92","n/e","211","211","n/e"
"01.01.2021 14:30 - 01.01.2021 14:45","315","315","n/e","94","94","n/e","221","221","n/e"
"01.01.2021 14:45 - 01.01.2021 15:00","251","251","n/e","95","95","n/e","232","232","n/e"
"01.01.2021 15:00 - 01.01.2021 15:15","189","189","n/e","97","97","n/e","241","241","n/e"
"01.01.2021 15:15 - 01.01.2021 15:30","149","149","n/e","100","100","n/e","254","254","n/e"
"01.01.2021 15:30 - 01.01.2021 15:45","110","110","n/e","104","104","n/e","267","267","n/e"
"01.01.2021 15:45 - 01.01.2021 16:00","71","71","n/e","108","108","n/e","280","280","n/e"
"01.01.2021 16:00 - 01.01.2021 16:15","32","32","n/e","112","112","n/e","295","295","n/e"
"01.01.2021 16:15 - 01.01.2021 16:30","25","25","n/e","118","118","n/e","308","308","n/e"
"01.01.2021 16:30 - 01.01.2021 16:45","15","15","n/e","127","127","n/e","321","321","n/e"
"01.01.2021 16:45 - 01.01.2021 17:00","8","8","n/e","136","136","n/e","332","332","n/e"
"01.01.2021 17:00 - 01.01.2021 17:15","0","0","n/e","144","144","n/e","344","344","n/e"
"01.01.2021 17:15 - 01.01.2021 17:30","0","0","n/e","151","151","n/e","357","357","n/e"
"01.01.2021 17:30 - 01.01.2021 17:45","0","0","n/e","155","155","n/e","373","373","n/e"
"01.01.2021 17:45 - 01.01.2021 18:00","0","0","n/e","160","160","n/e","388","388","n/e"
"01.01.2021 18:00 - 01.01.2021 18:15","0","0","n/e","164","164","n/e","401","401","n/e"
"01.01.2021 18:15 - 01.01.2021 18:30","0","0","n/e","164","164","n/e","416","416","n/e"
"01.01.2021 18:30 - 01.01.2021 18:45","0","0","n/e","158","158","n/e","423","423","n/e"
"01.01.2021 18:45 - 01.01.2021 19:00","0","0","n/e","152","152","n/e","430","430","n/e"
"01.01.2021 19:00 - 01.01.2021 19:15","0","0","n/e","146","146","n/e","436","436","n/e"
"01.01.2021 19:15 - 01.01.2021 19:30","0","0","n/e","140","140","n/e","439","439","n/e"
"01.01.2021 19:30 - 01.01.2021 19:45","0","0","n/e","134","134","n/e","437","437","n/e"
"01.01.2021 19:45 - 01.01.2021 20:00","0","0","n/e","129","129","n/e","438","438","n/e"
"01.01.2021 20:00 - 01.01.2021 20:15","0","0","n/e","123","123","n/e","435","435","n/e"
"01.01.2021 20:15 - 01.01.2021 20:30","0","0","n/e","123","123","n/e","437","437","n/e"
"01.01.2021 20:30 - 01.01.2021 20:45","0","0","n/e","128","128","n/e","436","436","n/e"
"01.01.2021 20:45 - 01.01.2021 21:00","0","0","n/e","132","132","n/e","438","438","n/e"
"01.01.2021 21:00 - 01.01.2021 21:15","0","0","n/e","137","137","n/e","439","439","n/e"
"01.01.2021 21:15 - 01.01.2021 21:30","0","0","n/e","140","140","n/e","441","441","n/e"
"01.01.2021 21:30 - 01.01.2021 21:45","0","0","n/e","142","142","n/e","438","438","n/e"
"01.01.2021 21:45 - 01.01.2021 22:00","0","0","n/e","143","143","n/e","440","440","n/e"
"01.01.2021 22:00 - 01.01.2021 22:15","0","0","n/e","145","145","n/e","439","439","n/e"
"01.01.2021 22:15 - 01.01.2021 22:30","0","0","n/e","143","143","n/e","439","439","n/e"
"01.01.2021 22:30 - 01.01.2021 22:45","0","0","n/e","138","138","n/e","438","438","n/e"
"01.01.2021 22:45 - 01.01.2021 23:00","0","0","n/e","133","133","n/e","437","437","n/e"
"01.01.2021 23:00 - 01.01.2021 23:15","0","0","n/e","127","127","n/e","436","436","n/e"
"01.01.2021 23:15 - 01.01.2021 23:30","0","0","n/e","126","126","n/e","432","432","n/e"
"01.01.2021 23:30 - 01.01.2021 23:45","0","0","n/e","128","128","n/e","430","430","n/e"
"01.01.2021 23:45 - 02.01.2021 00:00","0","0","n/e","130","130","n/e","425","425","n/e"
"02.01.2021 00:00 - 02.01.2021 00:15","0","0","n/e","118","118","n/e","344","344","n/e"
"02.01.2021 00:15 - 02.01.2021 00:30","0","0","n/e","118","118","n/e","341","341","n/e"
"02.01.2021 00:30 - 02.01.2021 00:45","0","0","n/e","112","112","n/e","341","341","n/e"
"02.01.2021 00:45 - 02.01.2021 01:00","0","0","n/e","107","107","n/e","340","340","n/e"
"02.01.2021 01:00 - 02.01.2021 01:15","0","0","n/e","102","102","n/e","340","340","n/e"
"02.01.2021 01:15 - 02.01.2021 01:30","0","0","n/e","102","102","n/e","337","337","n/e"
"02.01.2021 01:30 - 02.01.2021 01:45","0","0","n/e","106","106","n/e","329","329","n/e"
"02.01.2021 01:45 - 02.01.2021 02:00","0","0","n/e","111","111","n/e","322","322","n/e"
"02.01.2021 02:00 - 02.01.2021 02:15","0","0","n/e","115","115","n/e","314","314","n/e"
"02.01.2021 02:15 - 02.01.2021 02:30","0","0","n/e","113","113","n/e","310","310","n/e"
"02.01.2021 02:30 - 02.01.2021 02:45","0","0","n/e","106","106","n/e","310","310","n/e"
"02.01.2021 02:45 - 02.01.2021 03:00","0","0","n/e","98","98","n/e","311","311","n/e"
"02.01.2021 03:00 - 02.01.2021 03:15","0","0","n/e","91","91","n/e","309","309","n/e"
"02.01.2021 03:15 - 02.01.2021 03:30","0","0","n/e","87","87","n/e","302","302","n/e"
"02.01.2021 03:30 - 02.01.2021 03:45","0","0","n/e","86","86","n/e","287","287","n/e"
"02.01.2021 03:45 - 02.01.2021 04:00","0","0","n/e","85","85","n/e","272","272","n/e"
"02.01.2021 04:00 - 02.01.2021 04:15","0","0","n/e","84","84","n/e","257","257","n/e"
"02.01.2021 04:15 - 02.01.2021 04:30","0","0","n/e","82","82","n/e","238","238","n/e"
"02.01.2021 04:30 - 02.01.2021 04:45","0","0","n/e","80","80","n/e","215","215","n/e"
"02.01.2021 04:45 - 02.01.2021 05:00","0","0","n/e","78","78","n/e","194","194","n/e"
"02.01.2021 05:00 - 02.01.2021 05:15","0","0","n/e","76","76","n/e","171","171","n/e"
"02.01.2021 05:15 - 02.01.2021 05:30","0","0","n/e","74","74","n/e","154","154","n/e"
"02.01.2021 05:30 - 02.01.2021 05:45","0","0","n/e","72","72","n/e","142","142","n/e"
"02.01.2021 05:45 - 02.01.2021 06:00","0","0","n/e","69","69","n/e","133","133","n/e"
