"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2023 00:00 - 01.01.2023 00:15","42609","38883"
"01.01.2023 00:15 - 01.01.2023 00:30","42152","38565"
"01.01.2023 00:30 - 01.01.2023 00:45","41520","38438"
"01.01.2023 00:45 - 01.01.2023 01:00","40889","38260"
"01.01.2023 01:00 - 01.01.2023 01:15","40431","37894"
"01.01.2023 01:15 - 01.01.2023 01:30","39862","37792"
"01.01.2023 01:30 - 01.01.2023 01:45","39342","38201"
"01.01.2023 01:45 - 01.01.2023 02:00","38849","37855"
"01.01.2023 02:00 - 01.01.2023 02:15","38663","37434"
"01.01.2023 02:15 - 01.01.2023 02:30","38551","37224"
"01.01.2023 02:30 - 01.01.2023 02:45","38062","37003"
"01.01.2023 02:45 - 01.01.2023 03:00","37687","36752"
"01.01.2023 03:00 - 01.01.2023 03:15","37247","36562"
"01.01.2023 03:15 - 01.01.2023 03:30","37266","36049"
"01.01.2023 03:30 - 01.01.2023 03:45","37175","35957"
"01.01.2023 03:45 - 01.01.2023 04:00","37134","35990"
"01.01.2023 04:00 - 01.01.2023 04:15","37393","35851"
"01.01.2023 04:15 - 01.01.2023 04:30","37457","35645"
"01.01.2023 04:30 - 01.01.2023 04:45","37343","35624"
"01.01.2023 04:45 - 01.01.2023 05:00","37114","35726"
"01.01.2023 05:00 - 01.01.2023 05:15","36958","35880"
"01.01.2023 05:15 - 01.01.2023 05:30","36462","35876"
"01.01.2023 05:30 - 01.01.2023 05:45","36016","35916"
"01.01.2023 05:45 - 01.01.2023 06:00","35540","35745"
"01.01.2023 06:00 - 01.01.2023 06:15","34803","35365"
"01.01.2023 06:15 - 01.01.2023 06:30","34870","35551"
"01.01.2023 06:30 - 01.01.2023 06:45","34331","35315"
"01.01.2023 06:45 - 01.01.2023 07:00","34345","35360"
"01.01.2023 07:00 - 01.01.2023 07:15","34644","36008"
"01.01.2023 07:15 - 01.01.2023 07:30","34760","36217"
"01.01.2023 07:30 - 01.01.2023 07:45","35169","36448"
"01.01.2023 07:45 - 01.01.2023 08:00","35216","36673"
